text,label,review_date
"Cute little place with plenty of parking. Nice place to get away and work. I had an americano, which was pretty good. Not the best I've ever had, but good nonetheless.",positive,2022-01-09
I LOVE healthies! It's such a delicious and easy way to get in your protein for the day. They are super filling and don't taste chalky like most protein shakes do. There are so many different flavors and they are expanding all the time! Honestly if it were closer to where I live I would probably come weekly. This time around I got the number 1 white chocolate Twix. I definitely see why it's number one! Next on my list will be the sugar cookie. The protein cookies are also a new add I'll try sometime!,positive,2022-01-18
"As always, outstanding place for fresh& tasty breakfast, coffe and great bakery. Great servis!",positive,2022-01-10
"Best breakfast in Clearwater, by far. New owners are extremely customer-friendly, as well as the staff. Delicious food at affordable prices. Clean establishment, kitschy decor, cool nostalgic mural, kid-friendly, many tasty menu offerings - every meal I have eaten here left me licking the plate, well, not really; but you get the idea. Go check it out. By the way, one of the owners is a woman.",positive,2022-01-15
"A true gem right in the shadow of a Carnegie library.  This is the kind of place I would take out of town guests to show off a little bit. Some unique treats and some old standbys. A ""go to"" spot for breads, treats, and sweets.  And as always -- EAT LOCAL",positive,2022-01-16
Please stay away from this Dunkin  Very unsanitary Manager Mina Beshara is a fucking low life  Scumbag that's all about the money  Instead of the health and wellbeing of his employees,negative,2022-01-09
Delicious authentic food and friendly service. I had a little mix up with my order and they were more than accommodating to make up for it. Additionally the food is delicious! Please check them out! Great for a cold winter Sunday. Thank you!,positive,2022-01-16
This coffee shop was down the way from my Air BnB and it had amazing breakfast sandwiches and amazing americanos.,positive,2022-01-09
So we came to New Orleans on a girls trip from long island. we had brunch at the vampire cafe. we had a great time.,positive,2022-01-12
"Drinks are very good, a little too sweet for me but that's my fault for not telling them less sugar, this is my second time coming and both times I have ordered food only to be told they don't have any at the moment.... Not sure how they don't have the food items when they are open for another 6 hours. Kind of sucks because I can't rely on this place for a quick snack. Other then that seems to be an alright place. Not too sure if I'll be back though.",neutral,2022-01-09
We need one in sparks!!!! My fiancé and I love their drinks! The line is always long but it's worth it and the pup cups are thoroughly enjoyed by the dog!,positive,2022-01-15
"If you like Vietnamese, drive here. You won't be disappointed. Worth it and worth every penny. Bright, clean, warm and friendly. Delicious.",positive,2022-01-18
Had a wonderful breakfast board for brunch. Everything was of very high quality and tasty. Love the creative menu items. Located across the street from the Belcourt so will be pairing a meal at Anzie Blue with a movie again soon!,positive,2022-01-12
"I didn't know I could not sub out toast for pancakes on the Triple Egg Dare Ya breakfast meal, said that's the way it came... yup, was told it would confuse the cooks.. definitely don't want to go to a place where the cooks get confused so easily. 

We Learned that the District manager was there, so we asked to speak to him on this crazy policy... Trina the manager came out instead of Jeff (the district manager) must of realized this is a stupid policy and sent Trina out-to deal with the problems of our visit today ... by the way,  Brooke our server, was great and was just doing what she was told. 

On top of that, our eggs (that were ordered over medium), came out runny. Our hash brown potatoes, which we ordered crispy, came kind of crispy on one side only, and my toast was barley toasted. Hey at least the coffee was hot. 

As we left to pay, Trina was at the register, and was apologetic, but mentioned that they would have allowed the substitution of meat for the pancakes... really!?! 
Isn't it easier to drop toast in a toaster then cook up meat or even grill the pancakes?

We should of went to our favorite breakfasts place, Benedict's, you can get what ever you like made fresh and is much better in quality. 

Sorry Perkins, you don't have such an awesome reputation where you can say ""this is the only way we serve it ... take it or leave it"".

- No Soup for You!

.",negative,2022-01-16
"I usually don't leave reviews.... But I find myself wanting to today.  The 1st positive is the hostess in the front was very friendly. The 1st negative is the coffee was bitter and barely warm. I ordered the 1/2 sandwich and soup. The cheddar broccoli soup was very good. The club sandwich was nothing special. It came on sour dough bread that had not been toasted. Club sandwiches are supposed to be on toast. The bread itself was tasteless.  It had a tiny piece of avocado, which I really had to search to find.  I was disappointed in the sandwich. Service was okay.  The server did not seem to be having a good day. She did not smile, she just seemed like we were making her work and she did not like it.",negative,2022-01-11
"What a cute place! It's very colorful inside and they have a lot of artwork on the walls. Every wall, corner, area seems to have its own 'theme.' The corner table we sat at, the walls and shelves were decorated with pigs! Everything was adorable. As for the food, I went for the lunch combination with a half sandwich and soup. I couldn't decide! Everything sounded so good, but I ended up getting the Spinach Melt and the Tomato Basil soup. I think the soup is their specialty since it's always on the menu, but they also have a soup of the day written on a chalkboard. I went with my coworkers and we all did half sandwich + the same tomato soup. Everyone loved the soup. It was very delicious. My coworker and I both got the Spinach Melt and we both liked it. Another got the Egg Salad and she loved it as well. It's her second time ordering it and she liked it both times so yay for consistency. She said she likes it because you can really taste the dill so if you're not a big fan of dill, keep that in mind! The Spinach Melt seems so easy to make, yet, my coworker and I both knew it would not taste as good at home. 

Overall, it feels very comfort food-y and feels like home (taking the words of my coworker). I'd like to bring my friends next time to try other things on the menu.",positive,2022-01-13
"If you wanna rich creamy coffee, say no more! The coffee here is so over the top, you have to come. I love to have a coffee that's so strong yet without bitterness; this place definitely serves it right. Not to mention they really listen to you while they're brewing, so if you have a request the barista's right there. And I have one pet peeve with most coffee shops... There's never any were comfortable to sit. Most coffee shops cater to the people who are studying or using their laptops; but I like to come with a friend and just cozy up on the couch for some good conversation and warm brew. Once again, this place delivers! Lots of nice cozy corners to snuggle into with your coffee. The inside is big and beautiful and has places for everybody to find the right place to enjoy. I'm certainly putting this one on my bookmarks; and I highly recommend them to anyone who's a coffee fanatic like me.",positive,2022-01-12
If you are in Sparks and want a new place to eat try this place. It is family owned and ran. The coffee is some of the best I have ever had. I had a great sandwich and my husband had a rare steak Pho. He said it was the best he has had. They have some yummy desserts! Service was fast and friendly! We will be back soon!,positive,2022-01-17
"Came here looking for another beignet place we're had years ago. It didn't look familiar but we decided to try it anyway. 

Waiting to get seated was confusing. We sat at the bar. The bartender was very nice and attentive. We ordered some beignet and beer. The beignets were too doughy, not what we had in the past at this other place. But it wasn't bad. We ordered the Ghost in the Machine beer and it was really good!! I really liked it. Would probably go back here for the beer, yum!!",neutral,2022-01-09
"There are really better places for a cup of coffee... if you are ever desperate, the vending machine would be a much better choice..",negative,2022-01-11
"""CBD and Chill"" is displayed in neon lights when you walk into Anzie Blue so I knew I was going to have a good time. This is a true day-to-night transition sort of restaurant since you can get coffee or cocktails, and brunch is served all day. We went on a Sunday for their jazz brunch. The live music was a nice touch and we had a great time. I got the cold brew martini which was yummy and my boyfriend went with a beer. We both enjoyed our drinks and certainly the cocktail was really fun. You can add CBD to any cocktail for $2 as well. For our entrees, I ordered the shrimp and grits and my boyfriend ordered the club ranch with a side of steak fries. The shrimp and grits was so flavorful and the jumbo shrimp was well seasoned. My boyfriend enjoyed the sandwich and fries and said they were delicious. Overall, a win! We will definitely be back.",positive,2022-01-11
I'm a bit of a coffee snub and I found it the coffee amazing. I had cappuccino the three days I was here and found it consistently delicious. It tasted fresh and aromatic. It's expensive bit expensive but that's what you would expect from quality coffee.,positive,2022-01-17
"It was a small local shop, so be expected to wait for about 1 hour on weekends. Dishes we ordered were great. They change menu every Friday?, which makes me like the diner. The two major drawbacks except very long waiting time are: 1. They charge 15% gratitudes despite dine in or take out, which means your to go coffee also will be charged 15% extra. 2. Their staff was no super hospitable, that is also why i don't like they put 15% gratitudes on my bill. Otherwise, their food/menu are very creative, worth to try.",neutral,2022-01-16
"Food was great!ordered via grubhub
 Arrived on time. Fried chicken and dumplings were delicious",positive,2022-01-18
The very best sandwiches we've ever come across. They have an excellent vegetarian  selection and they bake all their own bread and make their own potato chips,positive,2022-01-18
"As long as you don't ask Alexis the manager ANY questions regarding your order you will be treated like cattle... if you ask questions about your order you WILL be treated horribly, with rude tones and she will make an extra trip inside to insure her employees NOT make what was ordered!",negative,2022-01-15
Alessia is an amazing pastry chef! She did the desserts for our wedding and everything was so delicious and looked amazing too. The breakfast at the cafe is also super yummy. Highly recommend! Warm chocolate chip cookies droolll,positive,2022-01-19
"This place is a must, when visiting Philadelphia.

My family and I love it here. It never disappoints, and you get to shop through many different stores and try different foods.. The vibe is always great.

We love the Thai Salmon dish, the cannoli's and the farmers market for fresh meats/produce. 

I live in NJ so I normally travel to Center City by train, so it becomes quite the adventurous day for us.",positive,2022-01-14
Love this location!! They always are so welcoming with their greetings. The only bad thing is that is only 1 mile from my house and is too convenient when I get a strawberry açaí refresher desire.,positive,2022-01-14
The Greek Cafe grill has been putting out good food for years. I really enjoyed my combo plate (gyro and chicken).,positive,2022-01-10
"I don't know how to review this gas station worse than I am about to and I just want to say that I downloaded yelp specifically to warn you all. So the first time I came here I thought maybe it was a fluke. I went to one pump tried to pay by my card and the pump said to see the cashier. So I'm stubborn and just decided to drive around to another pump and use a different card. Same thing happens so I walk in and go to pay and the cashier says yea our pumps never work. So I chalk this up as a random occurrence. Well today my husband went to the same gas station and same thing happens to him so he goes inside says ""please put 30 on pump___"" goes back out and the station pumps three dollars and then stops so he goes back inside and tells the cashier- ""hey I thought I said put thirty on pump ____"" and the cashier goes oh yea sorry about that I'll do it now. So husband goes back out to the pump- still not working waits goes back inside and asks the cashier what the deal is. So then the cashier says oh... I thought you said $3... all I'm saying is save yourself some time and annoyance and go either a street up or somewhere else because this gas station will just give you problems... and you always have to go inside to pay. Your girls in a rush sometimes I just want to pump my gas and go.",negative,2022-01-15
"Right across from our hotel and we were starving after a long day of checking out the city. Reviews were decent so we wanted to try. Ordered the Rotolo (pic looks cool on website), Escarole Caesar, and a large Margarita pie.  Server asked if we wanted anchovies on the salad, and even though my daughter ordered it, I said sure. I love a couple of anchovies on a Caesar salad, so I thought if I snuck a bite, bonus for me. Server came back - no Rotolo.  Ok - so we ordered the breadsticks.  Breadsticks and salad arrived.  Breadsticks - no dipping sauce, kind of a disappointment - pretty good flavor from obviously their dough, but nothing more than Olive Garden really.  Caesar salad - wildly underdressed, so we asked for more dressing.  More dressing added, and completely overloaded with anchovies. Again, I love them, but so anchovy forward that if you like a good Caesar salad, this was nothing like that. It was kind of disgusting.  I am pretty sure that Caesar Salad is not native to Italy.  This should flat out be removed from their menu unless they change the recipe.  Lemon or salt would go miles to help this.  We got the ""metro"" size pizza as we were hungry; presentation 10/10, price 2/10 (I think it was $28 for a marginally sized flatbread), crust 10/10 (great chew and char), sauce 2/10 (prob San Marzano, but salt and olive oil were nonexistent), cheese 1/10 (almost non existent), and a handful of fresh basil thrown around on the flatbread.  
Service was pretty much as nonexistent as the flavor on the pie - we had to flag someone down if we wanted something.  I wouldn't be inclined to write this review if one person asked how our food was - no one did.  Seemed like a healthy takeout business which is good for them.  However, if you're trying to pick back up, customer service goes a long way.
Service - 1/10
Food  - 3/10
Overall - 3/10
Chance of returning - 0%",negative,2022-01-10
"How have I been sleeping on this place!! Amazing authentic menu!! Custom-noodle bowls, bbq rice meals (the duck and the pork belly unreal!! But do yourself a favour and explore the chef specials menu!! The Szechuan style pepper chicken, beef Gailan & bass fillet in black bean had so many flavours!! Can't wait to explore more!!! Also the special milk tea (hot or iced) was a great finish!!",positive,2022-01-15
"The food was absolutely delicious. The only bummer was finding out the injera is made from only part teff flour, because im gluten free",positive,2022-01-18
"This place is amazing! The food is fresh, tasty, and the customer service is exceptional. Gluten Free and Vegan options and still with amazing taste. Definitely a new favorite carry out or dine restaurant!",positive,2022-01-13
"One of the best Lattes I have had in such a long time! Jesse the Barista/ Bartender made the experience at Karma enjoyable and fun!
10/10 Recommend!",positive,2022-01-16
We had the most delicious Banh Mi sandwich here.  The pork was perfectly roasted and the vegetables fresh and crunchy and the baguette was fresh baked and delicious.  I highly recommend this Vietnamese cafe.,positive,2022-01-17
We found this place when we googled best pancakes in Tampa and they did not disappoint. We both got the pancakes and chicken with home fries and everything was delicious. And the staff was very friendly and helpful. We will definitely be back!,positive,2022-01-14
We bookmarked this place a while back but was in the area and search came up again and decided to try.  The outside was not what was expected since we were looking for a restaurant.  The outside looks like a museum gift shop.  We went in and ordered from a simple menu but complex tea and coffee menu.  Everything was good and the pastry was up to my Parisian husband's liking.  I was a bit weird out with the plastic and disposable plates and utensils.  I guess that's the new thing.  I just prefer in real silverware and real plates and bowls.  Anyway it was good food but the presentation could be better.,positive,2022-01-16
"Dishes were expensive and quite bland. The rice bowls we had the pineapple chicken and grilled chicken which were ok nothing special much 

For the cost of 5 for takeout I could have had a full service sit down dinner nearby.

Normally the cost is not an issue ... if the food was out of this world I wouldn't have mentioned but it was really much of anything unique we were expecting",neutral,2022-01-11
"Absolutely fantastic! Wonderful atmosphere and delightful treats. Try the vanilla bean scone, you won't be disappointed",positive,2022-01-15
Needed some Tissue and the one working the register refused to give me any. Worst Location!!!!!!,negative,2022-01-18
"Friendly staff, tons of donut options, great coffee & a darling coffee bar! We were just passing through the area but would highly recommend stopping.",positive,2022-01-18
Stopped at the Starbucks when I finished my doctors appt wanted something different to drink. Service was great decided to try the mango dragon fruit refresher it was great cold lightly sweetened price as usual wax a bit high in my opinion but it was great for a quick treat on the run home,positive,2022-01-11
"May have had potential some time ago....

Server was attentive.  Place was clean.

The eggplant and shrimp casserole, was plain.  Could have served some bread with it.

The shrimp stew with catfish was good, again not much flavor in the stew.  Fish was fresh and hot.

Looks like a great locals hang out bar.",negative,2022-01-16
"While I can't speak to other menu items, I can speak to their vegetarian pho! Usually I doordash an order for pickup, and it's ready in about an hour or less. Perfect for lunch time! The meal cost is about 10.50$ after tax, and the portion size is huge. I can never finish it all in one sitting, so I definitely get my money's worth. The broth is so flavorful on its own, and the vegetables are always fresh when I get them. Highly recommend getting the vegetarian pho here. :)",positive,2022-01-10
"This was recommended to me as a good first date spot and I would have to second that. The wine was excellent, to the point where I would've tried every glass if I had the time/money. I'm still dreaming of the burrata toast and can't wait to eat here again!",positive,2022-01-17
